EXTENSION,MIME_TYPE
epub,application/epub+zip
pdf,application/pdf
rtf,application/rtf
json,application/vnd.google-apps.script+json
odp,application/vnd.oasis.opendocument.presentation
ods,application/vnd.oasis.opendocument.spreadsheet
odt,application/vnd.oasis.opendocument.text
pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
ots,application/x-vnd.oasis.opendocument.spreadsheet
html.zip,application/zip
jpg,image/jpeg
png,image/png
svg,image/svg+xml
csv,text/csv
html,text/html
txt,text/plain
tsv,text/tab-separated-values
